PCA Dimension,Recon RMSE,Recon MAE,Recon R²,Cumulative Variance,Storage Ratio vs Full 45D PCA
5,0.8617,0.6917,0.2406,0.2406,0.1111
10,0.7585,0.5941,0.4116,0.4116,0.2222
15,0.6679,0.5131,0.5437,0.5437,0.3333
20,0.5755,0.4393,0.6613,0.6613,0.4444
25,0.4757,0.3604,0.7685,0.7685,0.5556
30,0.3646,0.2639,0.8641,0.8641,0.6667
35,0.2384,0.1558,0.9419,0.9419,0.7778
40,0.0374,0.0137,0.9986,0.9986,0.8889
45,0.0,0.0,1.0,1.0,1.0
