Method,Recall@1,Recall@10,NDCG@1,NDCG@10,mAP
Euclidean,0.0,0.0224,0.0,0.5267,-
Hash,0.0,0.0149,0.0,0.6934,-
Mesh Laplacian Spectrum,0.0,0.0299,0.0,0.5819,-
PCA Shape Latent,0.0,0.0224,0.0,0.6871,-
Random Forest,0.0,0.0,0.0,0.0,-
Ours(Lie Log+Koopman),0.0,0.0224,0.0,0.7328,0.1741
