Unnamed: 0,Cp,Cm,Cb,Cw,Lwl/Bwl,Bwl/Tc,Lwl/Tc,Lwl/Vol^(1/3),Lcb/Lwl,Lcf/Lwl,Lcb/Lcf,Sc/Vol^(2/3),Aw/Vol^(2/3),Sc/Aw,Sc/Ax,Ax/Aw
Cp,1.0,-0.3611663286170724,0.1507900029252432,0.7324996860873925,-0.4392754654969889,-0.0745044477449922,-0.2023266052883656,-0.3605418569105256,0.2041113762810561,0.3516087621830586,0.0009084464801695,-0.1842716538955606,-0.1378100559636141,-0.0556327891112056,-0.1867324736447099,0.1683273902775399
Cm,-0.3611663286170724,1.0,0.846201689380878,-0.1723468903910342,0.3604960087048172,0.4488984307213158,0.523306110380459,0.510453528158983,-0.5783625241793365,-0.8489995739908082,0.0516600879999905,0.4851973365406581,0.449347607135516,-0.2445644019073033,0.4627848342398847,-0.4824056979145998
Cb,0.1507900029252432,0.846201689380878,1.0,0.1635532254789646,0.1074215010556679,0.4832022055448842,0.4767371238827199,0.3474956749469119,-0.4959864354084171,-0.715647240722805,0.0399555131996531,0.4456562353928779,0.4309538935919754,-0.2860415898951166,0.4188270663996731,-0.4238772939454857
Cw,0.7324996860873925,-0.1723468903910342,0.1635532254789646,1.0,-0.2551082191557178,-0.1335044983058986,-0.2096212692950791,-0.2603482766002376,0.2831624990595408,0.3762695563870357,-0.1429867646521741,-0.1601426370994546,-0.1184566276353634,-0.1310269955123453,-0.1780065139952697,0.0432855355490757
Lwl/Bwl,-0.4392754654969889,0.3604960087048172,0.1074215010556679,-0.2551082191557178,1.0,0.0375412856053136,0.378735897648768,0.7179646585931779,-0.139906552626071,-0.2959328882947554,-0.0880199253023282,0.3164965147366869,0.2520268267724093,-0.0451986609635827,0.4357674219724179,-0.51618591900814
Bwl/Tc,-0.0745044477449922,0.4488984307213158,0.4832022055448842,-0.1335044983058986,0.0375412856053136,1.0,0.9298901885909472,0.6951264371287891,-0.2462302984665797,-0.4686950884390867,-0.0530752891340826,0.9516163306328336,0.960133139753912,-0.7327342946395474,0.9007871098939856,-0.747399152510715
Lwl/Tc,-0.2023266052883656,0.523306110380459,0.4767371238827199,-0.2096212692950791,0.378735897648768,0.9298901885909472,1.0,0.9016648678352154,-0.2711859630295398,-0.5240077789931654,-0.0742631289946504,0.989839841198458,0.9798419995689652,-0.7216183804582346,0.9924474520410204,-0.8766298255206043
Lwl/Vol^(1/3),-0.3605418569105256,0.510453528158983,0.3474956749469119,-0.2603482766002376,0.7179646585931779,0.6951264371287891,0.9016648678352154,1.0,-0.2374212699756033,-0.4900044613189803,-0.1077772420515336,0.8756149255996214,0.8482572128403691,-0.629519255913694,0.9262775427784884,-0.9227412384715292
Lcb/Lwl,0.2041113762810561,-0.5783625241793365,-0.4959864354084171,0.2831624990595408,-0.139906552626071,-0.2462302984665797,-0.2711859630295398,-0.2374212699756033,1.0,0.8516477097746084,-0.7532397022462798,-0.2188205587447803,-0.2110377816363769,0.1582569822351826,-0.2106146774726552,0.2162694133004786
Lcf/Lwl,0.3516087621830586,-0.8489995739908082,-0.715647240722805,0.3762695563870357,-0.2959328882947554,-0.4686950884390867,-0.5240077789931654,-0.4900044613189803,0.8516477097746084,1.0,-0.3738366840597459,-0.478796485046761,-0.4504752863450354,0.2558372639674949,-0.4634925558800139,0.4495244299585064
Lcb/Lcf,0.0009084464801695,0.0516600879999905,0.0399555131996531,-0.1429867646521741,-0.0880199253023282,-0.0530752891340826,-0.0742631289946504,-0.1077772420515336,-0.7532397022462798,-0.3738366840597459,1.0,-0.1171945598572481,-0.0980222054353069,0.0012394970214921,-0.1121449160387607,0.1251246373964203
Sc/Vol^(2/3),-0.1842716538955606,0.4851973365406581,0.4456562353928779,-0.1601426370994546,0.3164965147366869,0.9516163306328336,0.989839841198458,0.8756149255996214,-0.2188205587447803,-0.478796485046761,-0.1171945598572481,1.0,0.9947752545113876,-0.752088464765884,0.9860024736248812,-0.8833890202940563
Aw/Vol^(2/3),-0.1378100559636141,0.449347607135516,0.4309538935919754,-0.1184566276353634,0.2520268267724093,0.960133139753912,0.9798419995689652,0.8482572128403691,-0.2110377816363769,-0.4504752863450354,-0.0980222054353069,0.9947752545113876,1.0,-0.8081700834825317,0.9738408493741864,-0.8859939985077246
Sc/Aw,-0.0556327891112056,-0.2445644019073033,-0.2860415898951166,-0.1310269955123453,-0.0451986609635827,-0.7327342946395474,-0.7216183804582346,-0.629519255913694,0.1582569822351826,0.2558372639674949,0.0012394970214921,-0.752088464765884,-0.8081700834825317,1.0,-0.7164827327996535,0.8343271947007352
Sc/Ax,-0.1867324736447099,0.4627848342398847,0.4188270663996731,-0.1780065139952697,0.4357674219724179,0.9007871098939856,0.9924474520410204,0.9262775427784884,-0.2106146774726552,-0.4634925558800139,-0.1121449160387607,0.9860024736248812,0.9738408493741864,-0.7164827327996535,1.0,-0.8960440210871208
Ax/Aw,0.1683273902775399,-0.4824056979145998,-0.4238772939454857,0.0432855355490757,-0.51618591900814,-0.747399152510715,-0.8766298255206043,-0.9227412384715292,0.2162694133004786,0.4495244299585064,0.1251246373964203,-0.8833890202940563,-0.8859939985077246,0.8343271947007352,-0.8960440210871208,1.0
