Serie,Sysser,Isomap-1,Isomap-2,Isomap-3,Isomap-4
DELFT Series,1,-5.549950183179415,0.5971164938545757,-1.5511611891247699,-0.5689345077208146
DELFT Series,10,-4.389653575120033,4.109898656826832,-1.0827995908547063,1.978782243271752
DELFT Series,11,-4.167681560823783,0.6376122794930725,1.689982101440207,-3.7999826916097104
DELFT Series,12,-3.9397494587881017,4.4423498162390755,-0.8266198981208431,1.7982008017190025
DELFT Series,14,-5.645374239484949,-0.9516111704777592,-0.2812083139156649,-0.5050264725349262
DELFT Series,15,-6.388280048187677,-0.5536228892067074,0.2792839257830906,-0.852160145892406
DELFT Series,16,-7.009784170306397,-1.7166131806366545,0.5754546550270123,0.9941482704153124
DELFT Series,17,-4.415948227782019,6.3652363769448534,-1.8025301521733081,-0.08048775239575445
DELFT Series,18,-6.9865224244122,1.083772607167555,0.9876801818032908,-3.980449086413146
DELFT Series,2,-6.6345028265838035,-0.2866626785978456,-0.5060510163786748,0.49434429862938273
DELFT Series,20,-4.343448151549685,-0.17100684949291242,2.395812608214905,-2.702824013407596
DELFT Series,21,-7.209824635678787,0.7506660419832085,-1.8214559060071644,-1.8649445047412936
DELFT Series,22,-7.422060850476245,0.5513278196687211,-3.1027526241391308,-1.3193643013901095
DELFT Series,23,-2.331382740093373,0.3621227331854528,-0.44084881532660364,2.1067441642330933
DELFT Series,24,5.0057591827989905,1.157162963412009,-1.658375100578569,1.3278797995401943
DELFT Series,25,0.02701759730854532,0.8689787577488463,-0.42922689522141527,1.4106343179368857
DELFT Series,26,7.403174770064694,1.674634088223893,-1.5339729772799873,0.7948306921714
DELFT Series,27,-4.740713107004365,-2.007097639808606,1.4222865624845222,4.22306214736119
DELFT Series,28,2.2629941978567447,1.927517852117797,-0.34844512538261235,1.0063485048648904
DELFT Series,29,6.004184389429556,-0.9786164915981143,-1.7694489573560441,-0.7546960477968834
DELFT Series,3,-4.95342826699368,0.14830539970532056,-2.8563604100669693,-1.6991285886433003
DELFT Series,31,9.358523271851505,-0.4195369962326369,-3.057939426750884,-0.5565367351248635
DELFT Series,33,6.313057248758037,-1.4553254144678536,-1.4912355627353395,-0.918840493313533
DELFT Series,35,6.685561444680769,-1.8861942508727945,-2.459448158457851,-1.2267729748173168
