Serie,Sysser,LLE-1,LLE-2,LLE-3,LLE-4
DELFT Series,1,-0.17064910972994005,0.027633399770381362,-0.05555474046442922,-0.005127003928031687
DELFT Series,10,-0.030590261028951654,0.01097026003019673,-0.019421330046087745,-0.01323144541357912
DELFT Series,11,-0.28505991817093546,0.013090293529376752,-0.09505403275891164,-0.01100111102938834
DELFT Series,12,-0.022750890033850144,0.01748607278327542,-0.0031174812952135225,-0.03127333785120773
DELFT Series,14,-0.11244818661385912,0.24796386656341343,0.09297525605557998,0.16355436701564194
DELFT Series,15,-0.11802771550788733,0.24411861698049794,0.07400723223722255,0.1796435660435589
DELFT Series,16,-0.10576120450058686,0.29568127168587593,0.017331637794225165,0.17257681548454173
DELFT Series,17,-0.08401524218916781,-0.19781165868357956,-0.14804656154837728,-0.18977899733897624
DELFT Series,18,-0.3397997147812896,-0.2004387981095076,-0.22871731204693443,-0.19508983799623167
DELFT Series,2,-0.16228689279174532,0.04193203684983732,-0.10838083308735484,-0.06628662294313364
DELFT Series,20,-0.23256422127178966,0.22928515021596926,0.039771417662708884,0.1749061720295839
DELFT Series,21,-0.22001598873053438,-0.1850215671440567,-0.18043048143811363,-0.2132354651284163
DELFT Series,22,-0.2360339922822778,-0.18584369543199708,-0.21067728703239422,-0.1634472141741812
DELFT Series,23,0.023841321567479062,0.02151224854646194,-0.04513388384585772,0.07565437550474494
DELFT Series,24,0.020858733087079466,-0.18072624445230742,0.13290005111592426,0.0443156983886881
DELFT Series,25,0.03610420097782613,-0.03761932915313977,0.010735600676860808,0.050258460601369875
DELFT Series,26,0.018817745969154837,-0.231458356578199,0.16940840070759694,0.06785962021141323
DELFT Series,27,0.049235485117835535,0.19315031079403905,-0.0641411300675197,-0.0018127389817012742
DELFT Series,28,0.03702753366275658,-0.09296146389543498,0.07014026968628159,0.033837811566373444
DELFT Series,29,0.03305422647497082,-0.15194452762933985,0.09002949500619058,0.1030745384106045
DELFT Series,3,-0.18356604561953874,-0.0434560449225931,-0.050502373507259286,-0.00901009042263154
DELFT Series,31,0.017691997385153944,-0.26013577619848954,0.18105521717179263,0.11431666821588646
DELFT Series,33,0.03740833585572038,-0.1298390625945803,0.06833168593495394,0.12059139069414175
DELFT Series,35,0.03686603503082042,-0.166689582801051,0.05423243333495299,0.16758308457339954
DELFT Series,36,0.027519687319679145,-0.09294202668616562,0.13353465638203937,-0.00347169704454834
