Series,N_hulls,MLE_k5,MLE_k7,MLE_k10,MLE_k12,MLE_k15,MLE_k20,TWO_NN
DELFT_Series,47,3.5497487738791165,3.49079161018435,3.1965245580276576,3.1628244060673794,3.2317447328585676,3.0744592484104207,2.7845358938476847
Il_Moro_di_Venezia'_Series,14,4.868592095456471,3.642166849233331,2.8153561216929743,2.1267102257532535,,,3.188810183398239
US_Series,9,2.590584152461181,1.9808076014364555,,,,,2.212272035411598
