Unnamed: 0,Cp,Cm,Cb,Cw,Lwl/Bwl,Bwl/Tc,Lwl/Tc,Lwl/Vol^(1/3),Lcb/Lwl,Lcf/Lwl,Lcb/Lcf,Sc/Vol^(2/3),Aw/Vol^(2/3),Sc/Aw,Sc/Ax,Ax/Aw
Cp,1.0,0.486818638199435,0.5295827434343958,0.3854669553723653,0.079235088692537,0.0,0.025407807317356,0.1508715051376441,0.3039159437881849,0.3778671340606001,0.1775998281877897,0.0,0.0,0.0197183604299491,0.0,0.0
Cm,0.486818638199435,1.0,0.7891808870406978,0.0975214763059741,0.342833749695683,0.3077169944940019,0.4508540809428809,0.6365085201848761,0.6551850952991751,0.8672684109393916,0.5430542663467786,0.3224893226975052,0.2999103650601915,0.0871741045622052,0.4324987340636403,0.3501177412471854
Cb,0.5295827434343958,0.7891808870406978,1.0,0.2249421189165028,0.0,0.0401253840104001,0.1177612113303379,0.0571651937264028,0.2734477475750325,0.440837658189158,0.1248264515901991,0.0324420171994104,0.0468215867752652,0.0586454797460347,0.0701190064819434,0.1013194527585659
Cw,0.3854669553723653,0.0975214763059741,0.2249421189165028,1.0,0.048601058620318,0.0220382572870136,0.1172062006519052,0.0128282454427473,0.0809734816036544,0.1461276595301797,0.3400147540271372,0.0826363734729134,0.083740007805019,0.0446978334526226,0.1250423393857112,0.0681932729532621
Lwl/Bwl,0.079235088692537,0.342833749695683,0.0,0.048601058620318,1.0,0.199175004886027,0.4285662404766368,0.7006123490660818,0.054212542354191,0.0856953482086422,0.0453285449461486,0.3870846949454805,0.3417154030959328,0.2512069503280449,0.4815515568845665,0.4469673462707813
Bwl/Tc,0.0,0.3077169944940019,0.0401253840104001,0.0220382572870136,0.199175004886027,1.0,1.001088207172988,0.5499269345744437,0.0191328785260758,0.1043979599454774,0.0118022210106216,1.153910906144457,1.3306164884728675,0.8516392010795215,0.8546042260260047,0.8598279856278199
Lwl/Tc,0.025407807317356,0.4508540809428809,0.1177612113303379,0.1172062006519052,0.4285662404766368,1.001088207172988,1.0,1.0929379880811525,0.1127928143624168,0.1836572830106342,0.1136388816061262,1.7228158063671215,1.4272010582981598,0.7065073463871028,1.6488556806655097,1.3935081545951018
Lwl/Vol^(1/3),0.1508715051376441,0.6365085201848761,0.0571651937264028,0.0128282454427473,0.7006123490660818,0.5499269345744437,1.0929379880811525,1.0,0.4021813338494371,0.4797613128975468,0.2308608547292712,0.9376774554874294,0.7903334388130441,0.4538498179636865,1.2432685686082867,1.131994709727231
Lcb/Lwl,0.3039159437881849,0.6551850952991751,0.2734477475750325,0.0809734816036544,0.054212542354191,0.0191328785260758,0.1127928143624168,0.4021813338494371,1.0,1.0667819782456838,1.18356069775042,0.0300148750714703,0.0,0.023247141950057,0.1926069878342269,0.1078077825056764
Lcf/Lwl,0.3778671340606001,0.8672684109393916,0.440837658189158,0.1461276595301797,0.0856953482086422,0.1043979599454774,0.1836572830106342,0.4797613128975468,1.0667819782456838,1.0,0.959846820531408,0.1171462167842607,0.0858801227264565,0.0809348224756738,0.187734565598848,0.1524637670248148
Lcb/Lcf,0.1775998281877897,0.5430542663467786,0.1248264515901991,0.3400147540271372,0.0453285449461486,0.0118022210106216,0.1136388816061262,0.2308608547292712,1.18356069775042,0.959846820531408,1.0,0.0166769711120511,0.0167941929700514,0.0665476703413294,0.1143420888186006,0.1249490552967369
Sc/Vol^(2/3),0.0,0.3224893226975052,0.0324420171994104,0.0826363734729134,0.3870846949454805,1.153910906144457,1.7228158063671215,0.9376774554874294,0.0300148750714703,0.1171462167842607,0.0166769711120511,1.0,1.858983806507921,0.8530667019269536,1.5836958008627735,1.5511365731279372
Aw/Vol^(2/3),0.0,0.2999103650601915,0.0468215867752652,0.083740007805019,0.3417154030959328,1.3306164884728675,1.4272010582981598,0.7903334388130441,0.0,0.0858801227264565,0.0167941929700514,1.858983806507921,1.0,1.0195617234911951,1.3456184887790523,1.4436319223432852
Sc/Aw,0.0197183604299491,0.0871741045622052,0.0586454797460347,0.0446978334526226,0.2512069503280449,0.8516392010795215,0.7065073463871028,0.4538498179636865,0.023247141950057,0.0809348224756738,0.0665476703413294,0.8530667019269536,1.0195617234911951,1.0,0.6525698426712698,0.8852671209572094
Sc/Ax,0.0,0.4324987340636403,0.0701190064819434,0.1250423393857112,0.4815515568845665,0.8546042260260047,1.6488556806655097,1.2432685686082867,0.1926069878342269,0.187734565598848,0.1143420888186006,1.5836958008627735,1.3456184887790523,0.6525698426712698,1.0,1.7305095369429504
Ax/Aw,0.0,0.3501177412471854,0.1013194527585659,0.0681932729532621,0.4469673462707813,0.8598279856278199,1.3935081545951018,1.131994709727231,0.1078077825056764,0.1524637670248148,0.1249490552967369,1.5511365731279372,1.4436319223432852,0.8852671209572094,1.7305095369429504,1.0
