Serie,Sysser,LLE-1,LLE-2
DELFT Series,1,-0.17064910971710157,0.027633399770228117
DELFT Series,10,-0.03059026101608142,0.010970260030289156
DELFT Series,11,-0.2850599181581004,0.013090293529015922
DELFT Series,12,-0.022750890020957842,0.017486072783391524
DELFT Series,14,-0.11244818660120616,0.24796386656342947
DELFT Series,15,-0.11802771549526626,0.2441186169804923
DELFT Series,16,-0.10576120448815217,0.29568127168585867
DELFT Series,17,-0.08401524217609324,-0.1978116586836362
DELFT Series,18,-0.33979971476824866,-0.2004387981100219
DELFT Series,2,-0.16228689277900077,0.0419320368496727
DELFT Series,20,-0.2325642212591637,0.2292851502157587
DELFT Series,21,-0.2200159887174679,-0.18502156714434748
DELFT Series,22,-0.23603399226927818,-0.18584369543233595
DELFT Series,23,0.023841321580388628,0.021512248546654903
DELFT Series,24,0.020858733100537468,-0.18072624445204047
DELFT Series,25,0.03610420099090522,-0.03761932915290018
DELFT Series,26,0.01881774598274126,-0.23145835657791905
DELFT Series,27,0.049235485130436435,0.1931503107942674
DELFT Series,28,0.037027533675995775,-0.09296146389516799
DELFT Series,29,0.03305422648833979,-0.151944527629069
DELFT Series,3,-0.18356604560656548,-0.0434560449227643
DELFT Series,31,0.017691997398806062,-0.26013577619820544
DELFT Series,33,0.03740833586902715,-0.12983906259431152
DELFT Series,35,0.0368660350441836,-0.16668958280078697
DELFT Series,36,0.027519687332998352,-0.09294202668588501
DELFT Series,37,0.02304532084643623,-0.0061988810725367854
DELFT Series,38,0.004094733816351536,-0.32355200104521187
DELFT Series,39,0.0539892744077812,-0.048461873730074
DELFT Series,4,-0.1689345797689643,0.006570020222754569
DELFT Series,42,0.054518839905095366,0.08752865030985284
DELFT Series,43,0.049437227901507806,-0.02386115568105498
DELFT Series,44,0.054729227391864116,0.05204596212759602
DELFT Series,45,0.08564611892638453,0.16545587532273257
DELFT Series,46,0.053848468860185614,0.008206607621460901
DELFT Series,47,0.043972928534089295,-0.010006263443643587
DELFT Series,48,0.01792608074856849,-0.0952647679532296
DELFT Series,49,0.04251780588351481,-0.04530457818489365
DELFT Series,5,-0.17415670242179057,0.06671577538284444
DELFT Series,50,0.04932011527420367,-0.040972269622927535
DELFT Series,6,-0.16298793392080285,0.08737316482144758
DELFT Series,60,0.04822605877170113,0.03749447563737904
DELFT Series,61,0.038666123822738804,-0.010942110929306036
DELFT Series,62,0.056507240010287105,0.13582927202794493
DELFT Series,7,-0.1614663963892194,0.027265784965798866
DELFT Series,71,0.3213086809169551,0.027974911772834274
DELFT Series,72,0.32173731876604295,-0.04467382265947729
DELFT Series,73,0.31341613069164126,-0.04686650378884768
Il Moro di Venezia' Series,IACC 10,0.03141682151991521,0.002252014706472649
Il Moro di Venezia' Series,IACC 11,0.037199840406151284,0.09080848745104207
Il Moro di Venezia' Series,IACC 14,0.04006940606245197,0.09601740019457677
Il Moro di Venezia' Series,IACC 15,0.04737009860412342,0.13047238960540497
Il Moro di Venezia' Series,IACC 16,0.03461618246968994,-0.046105211377523936
Il Moro di Venezia' Series,IACC 17,0.043235188052328934,0.13339820912314848
Il Moro di Venezia' Series,IACC 19,0.04727353103841709,0.09072382373422333
Il Moro di Venezia' Series,IACC 2,0.03772613449192409,0.08313072632709903
Il Moro di Venezia' Series,IACC 3,0.039984396463915994,0.05616747126090899
Il Moro di Venezia' Series,IACC 4,0.029814541239396204,0.04381804495918376
Il Moro di Venezia' Series,IACC 5,0.04361445283045336,0.06803754412897661
Il Moro di Venezia' Series,IACC 6,0.011960613124226048,-0.03220984618749356
Il Moro di Venezia' Series,IACC 7,0.04336113356203661,0.040669671692454085
Il Moro di Venezia' Series,IACC 9,0.04430518185295188,0.10143662387360403
US Series,USS1,0.05880191492580673,0.07423698691271216
US Series,USS2,0.05431949521541037,-0.0014119690807248085
US Series,USS3,0.04864074781334836,-0.06511590268817156
US Series,USS4,0.061547643125373246,0.042895826528040644
US Series,USS5,0.05084579579482181,-0.012111734681360856
US Series,USS6,0.038694193737739954,-0.06029848944389801
US Series,USS7,0.06121031705514569,0.03181733548270239
US Series,USS8,0.051811471518180885,-0.007357984535212157
US Series,USS9,0.04196290008561902,-0.05356308324982646
