Serie,Sysser,Isomap-1,Isomap-2
DELFT Series,1,-5.549950183179415,0.5971164938545754
DELFT Series,10,-4.389653575120025,4.109898656826831
DELFT Series,11,-4.167681560823783,0.6376122794930755
DELFT Series,12,-3.939749458788101,4.4423498162390676
DELFT Series,14,-5.645374239484946,-0.9516111704777567
DELFT Series,15,-6.388280048187676,-0.5536228892067075
DELFT Series,16,-7.0097841703063954,-1.7166131806366536
DELFT Series,17,-4.415948227782019,6.365236376944851
DELFT Series,18,-6.986522424412198,1.083772607167556
DELFT Series,2,-6.634502826583802,-0.2866626785978459
DELFT Series,20,-4.343448151549684,-0.17100684949291106
DELFT Series,21,-7.209824635678786,0.7506660419832082
DELFT Series,22,-7.422060850476243,0.5513278196687205
DELFT Series,23,-2.3313827400933724,0.3621227331854529
DELFT Series,24,5.00575918279899,1.1571629634120089
DELFT Series,25,0.027017597308545308,0.8689787577488461
DELFT Series,26,7.403174770064692,1.674634088223892
DELFT Series,27,-4.740713107004364,-2.007097639808605
DELFT Series,28,2.2629941978567447,1.9275178521177967
DELFT Series,29,6.004184389429554,-0.978616491598113
DELFT Series,3,-4.953428266993679,0.14830539970532045
DELFT Series,31,9.358523271851503,-0.41953699623263635
DELFT Series,33,6.313057248758036,-1.455325414467852
DELFT Series,35,6.6855614446807685,-1.8861942508727927
DELFT Series,36,5.719233789060224,0.8628419428232882
DELFT Series,37,6.270396764154832,2.4489557102616515
DELFT Series,38,10.002735468588513,0.1890949730787229
DELFT Series,39,4.003700348937009,-0.5121163061215254
DELFT Series,4,-5.47610140846466,-0.045175559712213514
DELFT Series,42,-2.9698049953137593,-1.511682789948988
DELFT Series,43,-1.4650580641183295,-0.770121342545287
DELFT Series,44,-2.255208095686088,-0.9878287956641842
DELFT Series,45,-4.128069263148304,-2.376693839341796
DELFT Series,46,-1.1622670542357512,-0.6453818247098493
DELFT Series,47,1.2103853912397882,-2.9527981818307865
DELFT Series,48,-0.705386689707063,2.166760920851471
DELFT Series,49,1.455031674794683,-3.3365965327421048
DELFT Series,5,-5.627903203348495,-0.21425246973550344
DELFT Series,50,1.3289664978326823,-3.6931280565231885
DELFT Series,6,-6.56822025822489,-0.801931207350262
DELFT Series,60,0.9957012470229324,-1.5183544518628906
DELFT Series,61,1.8943035587395645,-2.47197579294919
DELFT Series,62,-0.25112668462416377,-0.6078581038746936
DELFT Series,7,-4.308959543534149,0.15003484526011368
DELFT Series,71,-0.6650591819570602,-4.247629083949732
DELFT Series,72,3.868172646801958,-2.2525370090783894
DELFT Series,73,2.5006314945724415,-3.8828633110073203
Il Moro di Venezia' Series,IACC 10,3.329089313680797,3.3770450678743
Il Moro di Venezia' Series,IACC 11,1.9342300174986122,2.199754215957943
Il Moro di Venezia' Series,IACC 14,1.663408744204887,0.7552645253896361
Il Moro di Venezia' Series,IACC 15,1.5538914573464615,0.3003085866416264
Il Moro di Venezia' Series,IACC 16,2.013484289777179,2.1901125221588673
Il Moro di Venezia' Series,IACC 17,1.7710379547949782,-0.5879535488640016
Il Moro di Venezia' Series,IACC 19,1.73637821984308,-1.0238491042412894
Il Moro di Venezia' Series,IACC 2,1.9911826048027315,2.640270697087939
Il Moro di Venezia' Series,IACC 3,2.50062820652681,2.930691477163207
Il Moro di Venezia' Series,IACC 4,1.674598354822167,2.3848213767172375
Il Moro di Venezia' Series,IACC 5,2.5194836239650567,3.6940508749448293
Il Moro di Venezia' Series,IACC 6,1.1832181527058887,4.352341034553521
Il Moro di Venezia' Series,IACC 7,1.9568592163938994,3.235958606110566
Il Moro di Venezia' Series,IACC 9,2.390753881290823,3.433577390656975
US Series,USS1,-1.7876821093515163,-3.0382246288785613
US Series,USS2,-1.0794064832428987,-2.725047167663858
US Series,USS3,-0.34004523490395416,-2.6756522956641065
US Series,USS4,0.4665859305359962,-1.698103076452485
US Series,USS5,1.1848762177786725,-1.8836291230781
US Series,USS6,2.2942102802550832,-2.3627977657962114
US Series,USS7,2.8580705166796494,-1.2667572542601881
US Series,USS8,3.5034336350392548,-0.8541406649795726
US Series,USS9,4.083651133890104,-0.6172198038849958
