Serie,Sysser,mean_residual,median_residual,std_residual,n_records
DELFT Series,1,6.169789855401476,-20.708505415476473,41.66592871089372,11
DELFT Series,10,15.917656289829317,-12.864810259587196,48.802947667438524,12
DELFT Series,11,9.26951218381429,-19.376252385476473,45.972572894453286,11
DELFT Series,12,-4.3037046479105205,-19.872977200692937,27.73563827329221,16
DELFT Series,14,19.11356992301272,-7.178113300801538,48.6001429983297,13
DELFT Series,15,9.27022736370887,-22.987463567267902,48.932896827207635,15
DELFT Series,16,32.79155895168829,-5.451406570801538,65.74822042429116,13
DELFT Series,17,22.019484055182,-5.336639690801537,51.3559472407526,13
DELFT Series,18,10.317688700918318,-18.92447826837285,47.84452451005666,11
DELFT Series,2,7.508495564401475,-21.128014723476475,42.90976434224483,11
DELFT Series,20,11.477694005037838,-19.534560925476473,48.584613541005055,11
DELFT Series,21,4.890897351037839,-18.366877145476472,38.520204002136985,11
DELFT Series,22,12.618487370401477,-18.624169215476474,52.88738784665475,11
DELFT Series,23,21.882724450841103,3.028824409451426,47.61015460353457,14
DELFT Series,24,42.264399823691264,43.76402326066992,56.218959490738094,24
DELFT Series,25,10.977304006714503,8.132538378791168,32.5013261862441,17
DELFT Series,26,13.9073982408386,5.964778136775841,33.15059292113996,14
DELFT Series,27,19.048720889384974,3.3335897394514244,44.43626050891496,14
DELFT Series,28,30.461651842911902,35.87301787553955,42.308681088181885,21
DELFT Series,29,10.052673208516833,0.8426629311312759,31.773928914627206,14
DELFT Series,3,8.584522685867455,-21.5415603579427,47.304783697038374,15
DELFT Series,31,16.71586301597307,6.609878343104381,35.75763784762836,16
DELFT Series,33,9.083308248036202,0.6273570961312771,30.540379499801066,14
DELFT Series,35,5.9428799098861536,-3.8025478955483365,27.801732391308935,13
DELFT Series,36,8.892631979802548,-0.25943843886872386,30.359583193754386,14
DELFT Series,37,4.52250526411692,-6.478158605548337,27.387365524462773,13
DELFT Series,38,19.68796426429041,11.399692569451425,37.488076075429866,14
DELFT Series,39,5.329107794510912,-2.4655159455485762,27.100037450210046,14
DELFT Series,4,4.594252665219656,-19.895254995476474,38.54867150875984,11
DELFT Series,42,26.73858350545269,2.4734804004752142,54.40137029181959,14
DELFT Series,43,24.854105943738407,2.691365720475215,50.98203977777868,14
DELFT Series,44,25.342194950369027,13.011110521427874,48.58457197676944,13
DELFT Series,45,19.89400258980984,2.336981740475215,45.80735202639132,14
DELFT Series,46,19.39667638591512,10.081135211427878,41.638056612270624,13
DELFT Series,47,5.4383256879437685,-19.22452629110701,36.37989316474902,15
DELFT Series,48,18.178873377745496,3.506444925475215,42.22299765666827,14
DELFT Series,49,14.75115810098713,-0.5750037961732826,39.39772644879274,14
DELFT Series,5,12.326931541310568,-20.604609045476472,52.498752463052504,11
DELFT Series,50,14.005293852840659,-9.17397820584673,41.85905953160504,13
DELFT Series,6,35.58704759595123,-9.07308425080154,71.24909137738399,13
DELFT Series,60,-2.271879073316935,-18.923289138703637,26.3876153428133,21
DELFT Series,61,-1.2360530732331843,-18.3235102192276,27.33226772048246,21
DELFT Series,62,-2.4569076229193305,-19.76855319626965,26.30270859516717,21
DELFT Series,7,3.8945423885590715,-21.715944756942697,39.71858873352326,15
DELFT Series,71,10.07417195027898,6.647870167276352,30.77635029689927,25
DELFT Series,72,0.2812742016569008,-2.8894341348060806,20.395050219179613,25
DELFT Series,73,4.97958873059563,0.9439907443448092,25.391950190038322,25
Il Moro di Venezia' Series,IACC 10,-55.401561058281885,-59.76859214478861,11.82606501758305,9
Il Moro di Venezia' Series,IACC 11,-61.3167458505519,-58.04974673914924,23.46738158621383,8
Il Moro di Venezia' Series,IACC 14,-64.53257514916666,-66.96106942750279,20.58886385367261,10
Il Moro di Venezia' Series,IACC 15,-64.09485177434865,-60.85901211923024,24.1388245244544,8
Il Moro di Venezia' Series,IACC 16,-53.60429532855772,-54.67621127109487,12.307110159432842,7
Il Moro di Venezia' Series,IACC 17,-54.40491225548694,-54.748514178318146,13.16379681248832,7
Il Moro di Venezia' Series,IACC 19,-55.14149800277054,-55.280508807465594,13.765252480245913,7
Il Moro di Venezia' Series,IACC 2,-60.87633095446612,-58.85172751937081,21.883853829943096,8
Il Moro di Venezia' Series,IACC 3,-60.93141725866738,-58.06425286389709,22.907464955332312,8
Il Moro di Venezia' Series,IACC 4,-58.520625754868504,-58.79960042239892,16.110995963036043,8
Il Moro di Venezia' Series,IACC 5,-59.39871136466267,-58.34978418727174,20.195585201947818,8
Il Moro di Venezia' Series,IACC 6,-57.67024265336151,-55.775507768142354,19.950034834822127,8
Il Moro di Venezia' Series,IACC 7,-53.84887211285694,-54.90252213136746,12.43939062176124,7
Il Moro di Venezia' Series,IACC 9,-59.65137723455676,-62.713217642051205,11.45824335706316,5
US Series,USS1,-18.58099600163055,-24.362132199013427,16.08999498759351,25
US Series,USS2,-26.86808555951584,-26.70546627843686,7.068266979033956,22
US Series,USS3,-21.848179177950467,-24.513747125171676,9.365550692559717,22
US Series,USS4,-9.229969246257225,-23.356941309756802,24.599512502309526,19
US Series,USS5,-7.698635766905774,-23.194779295315467,26.046406365398724,19
US Series,USS6,-7.714425058238111,-22.972847180346456,25.942711296040347,20
US Series,USS7,-10.313179132860322,-22.492674998915593,21.975717042344883,27
US Series,USS8,-9.41068319461142,-21.94372276584463,23.224222388406275,28
US Series,USS9,-6.34073336696053,-20.564992833138717,26.08430440469197,26
