Model,CV_hull_R2,CV_hull_RMSE,CV_hull_MAE,N_hulls
Baseline,0.9034573103710619,5.297275514785255,3.817748082947165,70
Isomap_3D,0.9294180911722972,4.5293884070767865,3.161484854534578,70
Isomap_4D,0.9331701215441093,4.40735669529539,3.077299635659175,70
