Serie,Sysser,Isomap-1,Isomap-2,Isomap-3
DELFT Series,1,-5.549950183179415,0.5971164938545754,-1.5511611891247699
DELFT Series,10,-4.3896535751200325,4.1098986568268305,-1.0827995908547057
DELFT Series,11,-4.167681560823784,0.6376122794930764,1.6899821014402074
DELFT Series,12,-3.9397494587881017,4.442349816239068,-0.8266198981208438
DELFT Series,14,-5.645374239484948,-0.9516111704777571,-0.2812083139156678
DELFT Series,15,-6.388280048187677,-0.5536228892067075,0.2792839257830898
DELFT Series,16,-7.009784170306396,-1.716613180636654,0.5754546550270129
DELFT Series,17,-4.41594822778202,6.365236376944852,-1.8025301521733081
DELFT Series,18,-6.9865224244121995,1.0837726071675555,0.9876801818032913
DELFT Series,2,-6.6345028265838035,-0.2866626785978464,-0.5060510163786749
DELFT Series,20,-4.343448151549685,-0.17100684949291084,2.395812608214905
DELFT Series,21,-7.209824635678787,0.7506660419832075,-1.821455906007165
DELFT Series,22,-7.422060850476246,0.5513278196687197,-3.1027526241391317
DELFT Series,23,-2.3313827400933733,0.36212273318545307,-0.44084881532660364
DELFT Series,24,5.0057591827989905,1.157162963412009,-1.658375100578569
DELFT Series,25,0.0270175973085452,0.8689787577488463,-0.42922689522141483
DELFT Series,26,7.403174770064694,1.6746340882238921,-1.5339729772799877
DELFT Series,27,-4.740713107004365,-2.0070976398086056,1.4222865624845227
DELFT Series,28,2.2629941978567447,1.9275178521177967,-0.3484451253826124
DELFT Series,29,6.004184389429555,-0.9786164915981131,-1.7694489573560441
DELFT Series,3,-4.95342826699368,0.1483053997053191,-2.8563604100669697
DELFT Series,31,9.358523271851505,-0.41953699623263674,-3.0579394267508846
DELFT Series,33,6.313057248758036,-1.4553254144678522,-1.4912355627353397
DELFT Series,35,6.685561444680769,-1.8861942508727931,-2.459448158457851
DELFT Series,36,5.719233789060223,0.8628419428232883,-1.0356487833643542
DELFT Series,37,6.270396764154833,2.4489557102616515,0.8869449287321648
DELFT Series,38,10.002735468588515,0.18909497307872286,-3.1962863117312827
DELFT Series,39,4.00370034893701,-0.5121163061215253,-0.2625547021490629
DELFT Series,4,-5.476101408464661,-0.04517555971221355,-1.3536157479531896
DELFT Series,42,-2.9698049953137597,-1.5116827899489884,0.23384906392920154
DELFT Series,43,-1.4650580641183297,-0.7701213425452874,-1.2766358603054002
DELFT Series,44,-2.255208095686088,-0.9878287956641846,0.030337337962632268
DELFT Series,45,-4.128069263148304,-2.376693839341797,0.9528851581121794
DELFT Series,46,-1.1622670542357516,-0.6453818247098497,-0.6866677142798835
DELFT Series,47,1.2103853912397888,-2.952798181830788,-0.4577250770680682
DELFT Series,48,-0.7053866897070632,2.1667609208514715,-0.8667303712499176
DELFT Series,49,1.4550316747946839,-3.336596532742106,-0.4829743935985136
DELFT Series,5,-5.627903203348496,-0.21425246973550363,-0.7701864799506188
DELFT Series,50,1.328966497832683,-3.69312805652319,-0.3814072864696703
DELFT Series,6,-6.568220258224891,-0.8019312073502625,-0.3752204549258807
DELFT Series,60,0.9957012470229326,-1.5183544518628909,-0.07298830915791796
DELFT Series,61,1.8943035587395647,-2.47197579294919,-0.4587372916106245
DELFT Series,62,-0.2511266846241638,-0.6078581038746932,2.464307477376839
DELFT Series,7,-4.30895954353415,0.150034845260113,-2.0795510341599326
DELFT Series,71,-0.6650591819570599,-4.247629083949732,3.3853685025105853
DELFT Series,72,3.8681726468019595,-2.252537009078389,3.067565254250711
DELFT Series,73,2.5006314945724424,-3.8828633110073207,2.30519185002697
Il Moro di Venezia' Series,IACC 10,3.329089313680798,3.3770450678743007,0.7505806395019058
Il Moro di Venezia' Series,IACC 11,1.934230017498613,2.199754215957944,2.338076353064389
Il Moro di Venezia' Series,IACC 14,1.6634087442048877,0.7552645253896366,1.7866506467344392
Il Moro di Venezia' Series,IACC 15,1.553891457346462,0.300308586641627,2.1166071686648
Il Moro di Venezia' Series,IACC 16,2.0134842897771796,2.1901125221588673,0.14375428847010022
Il Moro di Venezia' Series,IACC 17,1.7710379547949786,-0.5879535488640016,1.9617473958338838
Il Moro di Venezia' Series,IACC 19,1.7363782198430806,-1.0238491042412892,1.4712865666387809
Il Moro di Venezia' Series,IACC 2,1.9911826048027321,2.640270697087941,2.1168450920838975
Il Moro di Venezia' Series,IACC 3,2.500628206526811,2.930691477163208,2.1357956370094193
Il Moro di Venezia' Series,IACC 4,1.6745983548221675,2.3848213767172397,1.5645993812602703
Il Moro di Venezia' Series,IACC 5,2.519483623965057,3.6940508749448298,1.8392857793430588
Il Moro di Venezia' Series,IACC 6,1.183218152705889,4.352341034553522,-0.04129278584362577
Il Moro di Venezia' Series,IACC 7,1.9568592163938996,3.235958606110567,1.3072967913382552
Il Moro di Venezia' Series,IACC 9,2.3907538812908244,3.4335773906569758,3.021790813009504
US Series,USS1,-1.7876821093515163,-3.0382246288785613,0.8494998783063986
US Series,USS2,-1.0794064832428987,-2.7250471676638583,-0.36583684106331765
US Series,USS3,-0.3400452349039541,-2.675652295664108,-1.8407444668389301
US Series,USS4,0.4665859305359965,-1.6981030764524854,1.0298462529267935
US Series,USS5,1.1848762177786725,-1.8836291230781002,-0.7188010099819665
US Series,USS6,2.2942102802550832,-2.3627977657962114,-1.5472047690708075
US Series,USS7,2.8580705166796503,-1.2667572542601881,1.0055858547561831
US Series,USS8,3.5034336350392556,-0.8541406649795725,0.0834945156269974
US Series,USS9,4.083651133890105,-0.6172198038849959,-0.9090028515798213
