Unnamed: 0,Cp,Cm,Cb,Cw,Lwl/Bwl,Bwl/Tc,Lwl/Tc,Lwl/Vol^(1/3),Lcb/Lwl,Lcf/Lwl,Lcb/Lcf,Sc/Vol^(2/3),Aw/Vol^(2/3),Sc/Aw,Sc/Ax,Ax/Aw
Cp,1.0,-0.2765994680106398,0.0051008801932151,0.5616032070871662,-0.3874964342822337,-0.1601847883730333,-0.2860392680154486,-0.356775391088823,0.0981303569278952,0.3225019039368954,0.10330195307729,-0.2571501074909931,-0.1944548955190123,0.0737889223795262,-0.2342627680382019,0.2150150055014509
Cm,-0.2765994680106398,1.0,0.8884455889191036,-0.0495380416976044,0.3120408458262442,0.5976219021756427,0.5656213911699097,0.5158360760168431,-0.5242547139273352,-0.8342301223619265,-0.0196244838445296,0.522401773213364,0.4831713335702771,-0.374771434556484,0.4759621716019667,-0.4566269192355032
Cb,0.0051008801932151,0.8884455889191036,1.0,0.1041976518505642,0.1029507223034712,0.5805125154423,0.4609879438666155,0.3821980368382662,-0.4629153508696905,-0.7476706650694652,0.0077076516608183,0.4298499632300154,0.419771663933378,-0.378828573040789,0.3934386076114351,-0.3816980888127482
Cw,0.5616032070871662,-0.0495380416976044,0.1041976518505642,1.0,-0.1626606971787954,-0.0739976028461104,-0.185564304575572,-0.2481802911534154,0.1466732158583828,0.3400376186648651,0.0570233762597984,-0.1298083232445104,-0.0603812540122395,-0.0160445117152198,-0.1448555207091658,0.1134138767045311
Lwl/Bwl,-0.3874964342822337,0.3120408458262442,0.1029507223034712,-0.1626606971787954,1.0,0.2174883707991295,0.5685348937404242,0.7132463885775521,-0.0436681164106646,-0.2937366053932133,-0.1808003180795662,0.5245630376095083,0.4525322306008858,-0.1920996777667909,0.6105443366811146,-0.5512021681820403
Bwl/Tc,-0.1601847883730333,0.5976219021756427,0.5805125154423,-0.0739976028461104,0.2174883707991295,1.0,0.8935317637725296,0.7761349422188453,-0.2177574122338431,-0.5447323759700253,-0.189412166188022,0.9120240774042974,0.9321983495485524,-0.9289438702607542,0.8540208578395049,-0.8823138310027838
Lwl/Tc,-0.2860392680154486,0.5656213911699097,0.4609879438666155,-0.185564304575572,0.5685348937404242,0.8935317637725296,1.0,0.9628433951652722,-0.1800000145896814,-0.5367932044225677,-0.2329133859693954,0.9894753437100224,0.9711906092418178,-0.848954097284997,0.9853984603309872,-0.9852234867954064
Lwl/Vol^(1/3),-0.356775391088823,0.5158360760168431,0.3821980368382662,-0.2481802911534154,0.7132463885775521,0.7761349422188453,0.9628433951652722,1.0,-0.1510581831065658,-0.5229605004355677,-0.2388980263157894,0.9432143266565666,0.9063836863506366,-0.7336383601081442,0.9715240539796044,-0.950930389542512
Lcb/Lwl,0.0981303569278952,-0.5242547139273352,-0.4629153508696905,0.1466732158583828,-0.0436681164106646,-0.2177574122338431,-0.1800000145896814,-0.1510581831065658,1.0,0.7697344427942054,-0.722653105416114,-0.1144787751054748,-0.1110654171321464,0.0950313868574346,-0.096396730046766,0.1036960647897298
Lcf/Lwl,0.3225019039368954,-0.8342301223619265,-0.7476706650694652,0.3400376186648651,-0.2937366053932133,-0.5447323759700253,-0.5367932044225677,-0.5229605004355677,0.7697344427942054,1.0,-0.2198678973007459,-0.4749973755844808,-0.4295062463477175,0.3184379046573431,-0.4558036183642003,0.4328655912759708
Lcb/Lcf,0.10330195307729,-0.0196244838445296,0.0077076516608183,0.0570233762597984,-0.1808003180795662,-0.189412166188022,-0.2329133859693954,-0.2388980263157894,-0.722653105416114,-0.2198678973007459,1.0,-0.2749612885547218,-0.2529328913361157,0.1810912718130048,-0.2752937266382432,0.2504833475627997
Sc/Vol^(2/3),-0.2571501074909931,0.522401773213364,0.4298499632300154,-0.1298083232445104,0.5245630376095083,0.9120240774042974,0.9894753437100224,0.9432143266565666,-0.1144787751054748,-0.4749973755844808,-0.2749612885547218,1.0,0.9883124835972356,-0.8838946723821188,0.9838684279590588,-0.9886974018021172
Aw/Vol^(2/3),-0.1944548955190123,0.4831713335702771,0.419771663933378,-0.0603812540122395,0.4525322306008858,0.9321983495485524,0.9711906092418178,0.9063836863506366,-0.1110654171321464,-0.4295062463477175,-0.2529328913361157,0.9883124835972356,1.0,-0.9253608608170764,0.9653573615606684,-0.9832035692415362
Sc/Aw,0.0737889223795262,-0.374771434556484,-0.378828573040789,-0.0160445117152198,-0.1920996777667909,-0.9289438702607542,-0.848954097284997,-0.7336383601081442,0.0950313868574346,0.3184379046573431,0.1810912718130048,-0.8838946723821188,-0.9253608608170764,1.0,-0.8357449042078559,0.8752515090543259
Sc/Ax,-0.2342627680382019,0.4759621716019667,0.3934386076114351,-0.1448555207091658,0.6105443366811146,0.8540208578395049,0.9853984603309872,0.9715240539796044,-0.096396730046766,-0.4558036183642003,-0.2752937266382432,0.9838684279590588,0.9653573615606684,-0.8357449042078559,1.0,-0.9927915317994926
Ax/Aw,0.2150150055014509,-0.4566269192355032,-0.3816980888127482,0.1134138767045311,-0.5512021681820403,-0.8823138310027838,-0.9852234867954064,-0.950930389542512,0.1036960647897298,0.4328655912759708,0.2504833475627997,-0.9886974018021172,-0.9832035692415362,0.8752515090543259,-0.9927915317994926,1.0
