Serie,Sysser,LLE-1,LLE-2,LLE-3
DELFT Series,1,-0.17064910971164488,0.02763339977004166,-0.055554740464080744
DELFT Series,10,-0.03059026101060927,0.010970260030199998,-0.01942133004602052
DELFT Series,11,-0.2850599181526409,0.013090293528752281,-0.09505403275832791
DELFT Series,12,-0.02275089001547591,0.0174860727833031,-0.003117481295163835
DELFT Series,14,-0.11244818659582856,0.24796386656325203,0.09297525605575087
DELFT Series,15,-0.118027715489902,0.2441186169803166,0.07400723223740571
DELFT Series,16,-0.10576120448286602,0.2956812716857067,0.017331637794368224
DELFT Series,17,-0.08401524217053316,-0.19781165868373665,-0.14804656154814508
DELFT Series,18,-0.3397997147627009,-0.20043879811029675,-0.22871731204618181
DELFT Series,2,-0.16228689277358246,0.0419320368495039,-0.10838083308702824
DELFT Series,20,-0.23256422125379325,0.22928515021550439,0.039771417663127515
DELFT Series,21,-0.22001598871191327,-0.18502156714454449,-0.1804304814376072
DELFT Series,22,-0.23603399226375188,-0.1858436954325348,-0.21067728703185556
DELFT Series,23,0.02384132158587763,0.02151224854660103,-0.045133883845902
DELFT Series,24,0.02085873310626049,-0.18072624445213317,0.1329000511159396
DELFT Series,25,0.036104200996466905,-0.037619329152957244,0.010735600676807367
DELFT Series,26,0.01881774598851904,-0.2314583565780208,0.16940840070762983
DELFT Series,27,0.04923548513579473,0.19315031079423528,-0.06414113006766242
DELFT Series,28,0.03702753368162566,-0.09296146389523631,0.0701402696862407
DELFT Series,29,0.03305422649402489,-0.1519445276291451,0.09002949500617398
DELFT Series,3,-0.18356604560105244,-0.04345604492296152,-0.05050237350686418
DELFT Series,31,0.017691997404611644,-0.2601357761983106,0.18105521717183554
DELFT Series,33,0.03740833587468579,-0.12983906259438008,0.0683316859349228
DELFT Series,35,0.03686603504986625,-0.16668958280085422,0.054232433334933224
DELFT Series,36,0.027519687338662335,-0.092942026685974,0.13353465638201747
DELFT Series,37,0.023045320852066887,-0.00619888107264111,0.19054040703288794
DELFT Series,38,0.004094733822211052,-0.32355200104533055,0.19931343281065247
DELFT Series,39,0.05398927441335755,-0.04846187373012044,0.0187265650424872
DELFT Series,4,-0.1689345797634878,0.006570020222568414,-0.058600606394144765
DELFT Series,42,0.05451883991050584,0.08752865030983399,-0.10405374770141985
DELFT Series,43,0.049437227907029924,-0.023861155681088486,-0.062286764574875884
DELFT Series,44,0.05472922739731327,0.05204596212757242,-0.0844868396455708
DELFT Series,45,0.08564611893172082,0.1654558753227429,-0.1303095973628082
DELFT Series,46,0.05384846886568632,0.008206607621429,-0.05060621579050652
DELFT Series,47,0.0439729285396223,-0.010006263443689455,-0.025742031996908867
DELFT Series,48,0.017926080754189944,-0.0952647679533046,0.01596487046238999
DELFT Series,49,0.04251780588906189,-0.045304578184935516,-0.053741135829263695
DELFT Series,5,-0.17415670241636877,0.0667157753826568,-0.05250441581685804
DELFT Series,50,0.04932011527975254,-0.0409722696229678,-0.028250984982423434
DELFT Series,6,-0.16298793391542696,0.08737316482128046,-0.1075799675448298
DELFT Series,60,0.04822605877721796,0.03749447563732882,0.008112354688891012
DELFT Series,61,0.03866612382829117,-0.010942110929362656,-0.001730410080295504
DELFT Series,62,0.05650724001574223,0.13582927202789621,0.035107532838070464
DELFT Series,7,-0.1614663963837265,0.027265784965605278,0.0005445258755318246
DELFT Series,71,0.3213086809222028,0.0279749117730811,-0.35244042485559846
DELFT Series,72,0.3217373187713905,-0.04467382265924905,-0.26757192482486536
DELFT Series,73,0.31341613069698376,-0.046866503788622414,-0.2831023649529848
Il Moro di Venezia' Series,IACC 10,0.031416821525536036,0.0022520147063762996,0.18036940207606184
Il Moro di Venezia' Series,IACC 11,0.037199840411692595,0.09080848745095814,0.12825832121809697
Il Moro di Venezia' Series,IACC 14,0.04006940606793968,0.09601740019451617,0.022462955828207037
Il Moro di Venezia' Series,IACC 15,0.04737009860959346,0.13047238960534632,0.04074186650924811
Il Moro di Venezia' Series,IACC 16,0.034616182475303695,-0.04610521137760036,0.0939012546782902
Il Moro di Venezia' Series,IACC 17,0.04323518805779834,0.13339820912308759,0.02769011106856206
Il Moro di Venezia' Series,IACC 19,0.04727353104389588,0.09072382373417354,-0.008250943151759466
Il Moro di Venezia' Series,IACC 2,0.037726134497463495,0.08313072632701776,0.12328964018764052
Il Moro di Venezia' Series,IACC 3,0.03998439646948591,0.056167471260823935,0.15500835004172636
Il Moro di Venezia' Series,IACC 4,0.029814541244938212,0.043818044959108356,0.06087717695741288
Il Moro di Venezia' Series,IACC 5,0.043614452836050054,0.06803754412887845,0.23786480039201538
Il Moro di Venezia' Series,IACC 6,0.011960613129849085,-0.0322098461875923,0.1071388068198604
Il Moro di Venezia' Series,IACC 7,0.04336113356763112,0.040669671692364955,0.1932160784723274
Il Moro di Venezia' Series,IACC 9,0.04430518185848884,0.10143662387352254,0.15170600798296752
US Series,USS1,0.058801914931229646,0.07423698691269592,-0.10660946736678571
US Series,USS2,0.05431949522089645,-0.0014119690807472174,-0.09709781170849785
US Series,USS3,0.048640747818892015,-0.06511590268820233,-0.0809021382247713
US Series,USS4,0.061547643130859454,0.04289582652801042,-0.036237922791748076
US Series,USS5,0.05084579580036166,-0.012111734681404399,-0.012314035001700708
US Series,USS6,0.038694193743327734,-0.06029848944395552,0.00946977645036134
US Series,USS7,0.06121031706065981,0.031817335482663855,-0.0008289903385819993
US Series,USS8,0.051811471523736066,-0.007357984535262624,0.02333465521016798
US Series,USS9,0.04196290009122309,-0.05356308324989079,0.0563339416016255
