Serie,Sysser,Cp,Cm,Cb,Cw,Lwl/Bwl,Bwl/Tc,Lwl/Tc,Lwl/Vol^(1/3),Lcb/Lwl,Lcf/Lwl,Lcb/Lcf,Sc/Vol^(2/3),Aw/Vol^(2/3),Sc/Aw,Sc/Ax,Ax/Aw,mean_response,median_response,min_response,max_response,std_response,n_records
DELFT Series,28,0.543680284,0.735939792,0.400115955,0.672367199,4.500449918,6.753799201,30.39513507,6.992375038,-0.020500001,-0.059500001,0.344537817,7.882090317,7.304660111,1.079049565,29.96468418,0.03601071,83.18449707799999,82.51602796,0.803160661,208.4376517,67.33790441180872,21
DELFT Series,29,0.549074072,0.751304317,0.412521721,0.671400011,4.0,10.8695652,43.47826079,7.498282142,-0.045899998,-0.076300003,0.601572697,9.733539966,9.437238007,1.031397106,40.07407723,0.025737264,47.40726790357143,35.503931325,0.732039821,120.8296316,43.77096426292646,14
DELFT Series,3,0.571554043,0.646673395,0.369608793,0.694780162,2.747252675,5.345080853,14.68428767,4.778993042,-0.023,-0.033199999,0.69277112,6.249375267,5.775925742,1.081969462,17.06987352,0.063384738,40.72185886266666,7.079186465,0.523971282,150.5692794,56.04106106166195,15
DELFT Series,31,0.548484825,0.751898778,0.41240507,0.67404002,4.0,15.82278557,63.2911423,8.498839804,-0.045299999,-0.078100003,0.580025576,12.16719018,12.1715245,0.999643897,56.71717043,0.017625066,54.029279230624994,41.28907565,0.877823932,137.881059,47.76423850059432,16
DELFT Series,33,0.549074072,0.751304317,0.412521721,0.659240007,4.0,10.8695652,43.47826079,7.498282142,-0.065499999,-0.087300003,0.750286331,9.446795702,9.266316287,1.019476932,38.89351889,0.026212,46.45377066021428,35.28862549,0.904284485,118.2459617,42.58387470877855,14
DELFT Series,35,0.580387462,0.757798118,0.439816526,0.693960011,4.0,11.46788979,45.87155917,7.472122499,-0.0449,-0.075800002,0.592348274,9.941555093,9.686400467,1.026341532,43.11380255,0.023805405,41.55657970161538,29.57276085,1.320973467,108.7459448,38.355356664375286,13
DELFT Series,36,0.55149427,0.707317106,0.390081331,0.662999988,4.0,10.16260196,40.65040784,7.470045451,-0.0436,-0.072899997,0.59807959,9.477898574,9.249111553,1.024736108,39.045978,0.026244345,46.24722667485714,34.401829955,1.1495661,119.1291092,42.385817962574485,14
DELFT Series,37,0.551724156,0.656603791,0.362264172,0.653720021,4.0,9.433962376,37.7358495,7.469007793,-0.044199999,-0.069300003,0.637806599,9.375408432,9.117118927,1.028330167,38.6344833,0.0266169,40.13620505584615,26.89715014,1.106528329,107.4183654,37.93186364664847,13
DELFT Series,38,0.546882252,0.75530806,0.413064573,0.675127543,3.00030008,19.377906,58.13953291,7.502501559,-0.045299999,-0.078599997,0.576335893,12.60221538,12.66582027,0.994978225,51.70670006,0.019242733,57.05998866214286,46.067005965,1.250883121,135.56985,49.453489568005374,14
DELFT Series,39,0.548842589,0.752613209,0.413066182,0.669850027,4.999999925,6.968641298,34.84320597,7.499336168,-0.045499999,-0.075400002,0.603448245,8.164367215,7.534478965,1.083600771,33.6041687,0.032246022,42.69776792978571,32.20179745,0.990824537,109.0337784,39.10468821528959,14
